Glider-ID,Lat Deg,Lon-Deg,ISO-Time,Temp_C,Salinity PPT,Depth (m)
GLIDER-01,32.55271,-117.96966,2024-06-02T02:50:50Z,11.14,34.575,485.8
GLIDER-01,32.56492,-117.95814,2024-06-02T03:39:39Z,11.23,34.581,483.1
GLIDER-01,32.57712,-117.94661,2024-06-02T04:28:28Z,11.32,34.586,479.8
GLIDER-01,32.58932,-117.93508,2024-06-02T05:17:17Z,11.42,34.590,475.8
GLIDER-01,32.60153,-117.92356,2024-06-02T06:06:06Z,11.54,34.591,471.1
GLIDER-01,32.61373,-117.91203,2024-06-02T06:54:54Z,11.66,34.591,465.8
GLIDER-01,32.62593,-117.90051,2024-06-02T07:43:43Z,11.78,34.588,459.9
GLIDER-01,32.63814,-117.88898,2024-06-02T08:32:32Z,11.92,34.584,453.5
GLIDER-01,32.65034,-117.87746,2024-06-02T09:21:21Z,12.06,34.576,446.4
GLIDER-01,32.66254,-117.86593,2024-06-02T10:10:10Z,12.20,34.567,438.8
GLIDER-01,32.67475,-117.85441,2024-06-02T10:58:58Z,12.35,34.554,430.6
GLIDER-01,32.68695,-117.84288,2024-06-02T11:47:47Z,12.51,34.539,421.9
GLIDER-01,32.69915,-117.83136,2024-06-02T12:36:36Z,12.68,34.522,412.8
GLIDER-01,32.71136,-117.81983,2024-06-02T13:25:25Z,12.85,34.502,403.2
GLIDER-01,32.72356,-117.80831,2024-06-02T14:14:14Z,13.03,34.480,393.1
GLIDER-01,32.73576,-117.79678,2024-06-02T15:03:03Z,13.21,34.456,382.7
GLIDER-01,32.74797,-117.78525,2024-06-02T15:51:51Z,13.41,34.430,371.8
GLIDER-01,32.76017,-117.77373,2024-06-02T16:40:40Z,13.62,34.401,360.7
GLIDER-01,32.77237,-117.76220,2024-06-02T17:29:29Z,13.83,34.372,349.2
GLIDER-01,32.78458,-117.75068,2024-06-02T18:18:18Z,14.06,34.340,337.4
GLIDER-01,32.79678,-117.73915,2024-06-02T19:07:07Z,14.29,34.308,325.4
GLIDER-01,32.80898,-117.72763,2024-06-02T19:55:55Z,14.54,34.275,313.1
GLIDER-01,32.82119,-117.71610,2024-06-02T20:44:44Z,14.80,34.241,300.7
GLIDER-01,32.83339,-117.70458,2024-06-02T21:33:33Z,15.06,34.207,288.2
GLIDER-01,32.84559,-117.69305,2024-06-02T22:22:22Z,15.33,34.173,275.5
GLIDER-01,32.85780,-117.68153,2024-06-02T23:11:11Z,15.61,34.140,262.8
GLIDER-01,32.87000,-117.67000,2024-06-03T00:00:00Z,15.90,34.107,250.0
